CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/26/2022,11:50,BROOKLYN,11236,21.9378263,96.1303347,"(21.9378263, 96.1206227)",EAST 94 STREET,AVENUE M,,2,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4513663,Station Wagon/Sport Utility Vehicle,,,,
03/26/2022,17:42,QUEENS,11420,21.9477432,96.1402913,"(21.9378263, 96.1206227)",114 STREET,SUTTER AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4513953,Station Wagon/Sport Utility Vehicle,Sedan,,,
03/26/2022,1:45,MANHATTAN,10065,21.9577603,96.150318,"(21.9477432, 96.1303347)",EAST 62 STREET,1 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4513985,Sedan,Sedan,,,
03/26/2022,17:00,BROOKLYN,11249,21.9378263,96.1603192,"(21.9577603, 96.1402913)",,,98        SOUTH 4 STREET,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4514084,Sedan,Station Wagon/Sport Utility Vehicle,,,
02/25/2022,11:48,QUEENS,11432,21.9477432,96.1206227,"(21.9378263, 96.1206227)",JAMAICA AVENUE,165 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,,,,4514144,E-Scooter,Sedan,,,
03/26/2022,22:51,,,21.9577603,96.1303347,"(21.9378263, 96.1206227)",WEST 30 STREET,,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4513606,Sedan,,,,
03/26/2022,8:21,MANHATTAN,10032,21.9378263,96.1402913,"(21.9477432, 96.1303347)",SAINT NICHOLAS AVENUE,WEST 159 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4513564,Box Truck,Station Wagon/Sport Utility Vehicle,,,
03/17/2022,8:00,,,21.9477432,96.150318,"(21.9577603, 96.1402913)",139 STREET,,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4514412,Sedan,Station Wagon/Sport Utility Vehicle,,,
03/26/2022,10:30,BROOKLYN,11220,21.9577603,96.1603192,"(21.9378263, 96.1206227)",,,736       56 STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4513587,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/16/2021,9:23,,,21.9378263,96.1206227,"(21.9378263, 96.1206227)",JACKIE ROBINSON EXPY,JAMAICA AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4487185,Station Wagon/Sport Utility Vehicle,Sedan,,,
03/26/2022,13:48,MANHATTAN,10032,21.9477432,96.1303347,"(21.9477432, 96.1303347)",,,1016      SAINT NICHOLAS AVENUE,1,0,1,0,0,0,0,0,,,,,,4513565,,,,,
03/25/2022,9:56,,,21.9577603,96.1402913,"(21.9577603, 96.1402913)",EAST 241 STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4514286,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
03/26/2022,23:45,QUEENS,11104,21.9378263,96.150318,"(21.9378263, 96.1206227)",47 STREET,GREENPOINT AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4513637,Sedan,Sedan,,,
03/26/2022,1:26,,,21.9477432,96.1603192,"(21.9378263, 96.1206227)",GOWANUS RAMP,,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4513528,UTILITY,Station Wagon/Sport Utility Vehicle,,,
03/22/2022,9:07,BROOKLYN,11238,21.9577603,96.1206227,"(21.9477432, 96.1303347)",GRAND AVENUE,GREENE AVENUE,,1,0,1,0,0,0,0,0,Aggressive Driving/Road Rage,,,,,4514139,Sedan,,,,
