CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/25/2022,0:00,BRONX,10458,21.9477432,96.1206227,"(21.9378263, 96.1206227)",EAST FORDHAM ROAD,SOUTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4514180,Station Wagon/Sport Utility Vehicle,Sedan,,,
03/26/2022,4:00,BRONX,10468,21.9577603,96.1303347,"(21.9378263, 96.1206227)",GRAND CONCOURSE,EAST 183 STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4514209,Station Wagon/Sport Utility Vehicle,Sedan,,,
03/26/2022,4:34,QUEENS,11385,21.9378263,96.1402913,"(21.9477432, 96.1303347)",CENTRAL AVENUE,66 PLACE,,0,0,0,0,0,0,0,0,Unsafe Speed,,,,,4513795,Sedan,,,,
03/09/2022,11:56,,,21.9477432,96.150318,"(21.9577603, 96.1402913)",WEST 84 STREET,,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4514297,Station Wagon/Sport Utility Vehicle,,,,
03/26/2022,14:41,BROOKLYN,11228,21.9577603,96.1603192,"(21.9378263, 96.1206227)",70 STREET,12 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4513572,Station Wagon/Sport Utility Vehicle,,,,
03/26/2022,18:00,QUEENS,11361,21.9378263,96.1206227,"(21.9378263, 96.1206227)",39 AVENUE,BELL BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4513591,Sedan,Sedan,,,
03/26/2022,13:30,,,21.9477432,96.1303347,"(21.9477432, 96.1303347)",AVENUE U,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4514011,Sedan,,,,
03/26/2022,13:20,STATEN ISLAND,10305,21.9577603,96.1402913,"(21.9577603, 96.1402913)",SAINT JOHNS AVENUE,TOMPKINS AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4513701,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
03/25/2022,21:35,MANHATTAN,10035,21.9378263,96.150318,"(21.9378263, 96.1206227)",,,231       EAST 117 STREET,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4514155,Taxi,Sedan,,,
03/23/2022,21:00,QUEENS,11354,21.9477432,96.1603192,"(21.9378263, 96.1206227)",,,25-03     120 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4514334,Sedan,,,,
03/26/2022,12:00,QUEENS,11377,21.9577603,96.1206227,"(21.9477432, 96.1303347)",,,39-34     51 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4513548,Sedan,,,,
03/26/2022,13:28,BROOKLYN,11206,21.9378263,96.1303347,"(21.9577603, 96.1402913)",GRAHAM AVENUE,DEBEVOISE STREET,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4514046,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/26/2022,19:12,QUEENS,11419,21.9477432,96.1402913,"(21.9378263, 96.1206227)",,,94-39     120 STREET,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4513581,Station Wagon/Sport Utility Vehicle,Sedan,,,
03/26/2022,21:29,QUEENS,11374,21.9577603,96.150318,"(21.9378263, 96.1206227)",WETHEROLE STREET,65 ROAD,,1,0,1,0,0,0,0,0,Unsafe Speed,,,,,4513772,Bike,,,,
03/25/2022,13:21,BRONX,10458,21.9378263,96.1603192,"(21.9477432, 96.1303347)",EAST 188 STREET,ARTHUR AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4514221,Sedan,Sedan,,,
03/22/2022,8:20,BRONX,10467,21.9477432,96.1206227,"(21.9577603, 96.1402913)",BURKE AVENUE,BRONX PARK EAST,,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,,,,4514277,Sedan,Bike,,,
03/26/2022,22:30,BROOKLYN,11238,21.9577603,96.1303347,"(21.9378263, 96.1206227)",,,386       CLINTON AVENUE,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4514166,Sedan,,,,
03/26/2022,11:20,,,21.9378263,96.1402913,"(21.9378263, 96.1206227)",CONEY ISLAND AVENUE,,,1,0,0,0,0,0,1,0,Alcohol Involvement,Driver Inattention/Distraction,,,,4513691,Sedan,,,,
03/26/2022,18:17,QUEENS,11422,21.9477432,96.150318,"(21.9477432, 96.1303347)",130 AVENUE,BROOKVILLE BOULEVARD,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4513782,Sedan,Station Wagon/Sport Utility Vehicle,,,
03/14/2022,10:30,QUEENS,11433,21.9577603,96.1603192,"(21.9577603, 96.1402913)",,,160-18    110 AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4514390,Station Wagon/Sport Utility Vehicle,,,,
03/26/2022,1:30,,,21.9378263,96.1206227,"(21.9378263, 96.1206227)",CALAMUS AVENUE,72 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4514215,Pick-up Truck,Station Wagon/Sport Utility Vehicle,Sedan,,
03/26/2022,3:23,BRONX,10475,21.9477432,96.1303347,"(21.9378263, 96.1206227)",,,2291      NEW ENGLAND THRUWAY,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4513994,Box Truck,Sedan,,,
03/26/2022,1:45,BROOKLYN,11238,21.9577603,96.1402913,"(21.9477432, 96.1303347)",,,41        IRVING PLACE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4513503,Taxi,Station Wagon/Sport Utility Vehicle,,,
03/05/2022,14:52,MANHATTAN,10035,21.9378263,96.150318,"(21.9577603, 96.1402913)",,,30        PALADINO AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4514151,Sedan,,,,
03/26/2022,20:27,,,21.9477432,96.1603192,"(21.9378263, 96.1206227)",FULTON STREET,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4513655,Sedan,E-Bike,,,
03/26/2022,18:19,MANHATTAN,10019,21.9577603,96.1206227,"(21.9378263, 96.1206227)",WEST 51 STREET,11 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4514070,Sedan,,,,
03/26/2022,23:00,QUEENS,11420,21.9378263,96.1303347,"(21.9477432, 96.1303347)",,,115-36    122 STREET,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,4513952,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
03/26/2022,18:00,BROOKLYN,11207,21.9477432,96.1402913,"(21.9577603, 96.1402913)",GEORGIA AVENUE,LIVONIA AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4513827,Sedan,Sedan,,,
03/23/2022,20:40,,,21.9577603,96.150318,"(21.9378263, 96.1206227)",WEST STREET,,,0,0,0,0,0,0,0,0,Unsafe Speed,,,,,4514285,Station Wagon/Sport Utility Vehicle,,,,
04/24/2022,11:45,,,21.9378263,96.1603192,"(21.9378263, 96.1206227)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4521782,Sedan,,,,
09/11/2021,12:01,MANHATTAN,10016,21.9477432,96.1206227,"(21.9477432, 96.1303347)",,,3         EAST 31 STREET,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4457012,Station Wagon/Sport Utility Vehicle,,,,
09/10/2021,11:00,BROOKLYN,11230,21.9577603,96.1303347,"(21.9577603, 96.1402913)",OCEAN PARKWAY,AVENUE M,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4457022,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
09/11/2021,20:15,MANHATTAN,10013,21.9378263,96.1402913,"(21.9378263, 96.1206227)",,,116       FRANKLIN STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4456987,Station Wagon/Sport Utility Vehicle,,,,
09/09/2021,8:15,BROOKLYN,11238,21.9477432,96.150318,"(21.9378263, 96.1206227)",,,590       DEAN STREET,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,4456970,,,,,
12/10/2021,23:07,BROOKLYN,11233,21.9577603,96.1603192,"(21.9477432, 96.1303347)",BERGEN STREET,EASTERN PARKWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4485574,Sedan,,,,
12/10/2021,21:50,,,21.9378263,96.1206227,"(21.9577603, 96.1402913)",MAJOR DEEGAN EXPRESSWAY,,,0,0,0,0,0,0,0,0,Other Vehicular,,,,,4485894,Station Wagon/Sport Utility Vehicle,,,,
11/27/2021,5:40,BROOKLYN,11234,21.9477432,96.1303347,"(21.9378263, 96.1206227)",,,1100      EAST 58 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4485637,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/09/2021,5:15,,,21.9577603,96.1402913,"(21.9378263, 96.1206227)",ROCKAWAY BOULEVARD,VANWYCK EXPRESSWAY,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,4484930,Sedan,Sedan,,,
12/08/2021,12:58,BROOKLYN,11225,21.9378263,96.150318,"(21.9477432, 96.1303347)",,,203       LINCOLN ROAD,0,0,0,0,0,0,0,0,Unspecified,,,,,4484996,Convertible,,,,
12/08/2021,17:50,,,21.9477432,96.1603192,"(21.9577603, 96.1402913)",CROSS BRONX EXPY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,4484861,Tractor Truck Diesel,Sedan,Pick-up Truck,,
12/10/2021,4:30,QUEENS,11369,21.9577603,96.1206227,"(21.9378263, 96.1206227)",,,30-27     87 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4485177,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/10/2021,21:22,,,21.9378263,96.1303347,"(21.9378263, 96.1206227)",FRANKLIN AVENUE,,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4485316,Station Wagon/Sport Utility Vehicle,,,,
12/10/2021,8:30,BRONX,10457,21.9477432,96.1402913,"(21.9477432, 96.1303347)",,,425       CLAREMONT PARKWAY,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4485668,Ambulance,Sedan,,,
12/10/2021,12:15,QUEENS,11101,21.9577603,96.150318,"(21.9577603, 96.1402913)",13 STREET,QUEENS PLAZA SOUTH,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4485385,Station Wagon/Sport Utility Vehicle,Tanker,,,
12/08/2021,14:38,BROOKLYN,11217,21.9378263,96.1603192,"(21.9378263, 96.1206227)",,,25        FLATBUSH AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4484892,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/03/2021,13:40,,,21.9477432,96.1206227,"(21.9378263, 96.1206227)",HUTCHINSON RIVER PARKWAY,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4485246,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
12/10/2021,8:50,BRONX,10455,21.9577603,96.1303347,"(21.9477432, 96.1303347)",,,800       EAST 156 STREET,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,4485893,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/09/2021,19:45,BROOKLYN,11236,21.9378263,96.1402913,"(21.9577603, 96.1402913)",GLENWOOD ROAD,EAST 83 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4485586,Sedan,,,,
12/10/2021,16:07,MANHATTAN,10027,21.9477432,96.150318,"(21.9378263, 96.1206227)",,,416       WEST 129 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4485696,Sedan,AMBULANCE,,,
12/08/2021,6:37,,,21.9577603,96.1603192,"(21.9378263, 96.1206227)",VERRAZANO BRIDGE UPPER,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,Unspecified,,4485123,Sedan,Sedan,Sedan,Sedan,
12/10/2021,21:20,MANHATTAN,10028,21.9378263,96.1206227,"(21.9477432, 96.1303347)",,,204       EAST 84 STREET,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4485914,Station Wagon/Sport Utility Vehicle,Taxi,,,
12/10/2021,23:16,,,21.9477432,96.1303347,"(21.9577603, 96.1402913)",CHAMBERS STREET,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4485304,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/09/2021,17:21,,,21.9577603,96.1402913,"(21.9378263, 96.1206227)",BROADWAY,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4485055,Taxi,Sedan,,,
12/09/2021,7:30,BROOKLYN,11223,21.9378263,96.150318,"(21.9378263, 96.1206227)",BOYNTON PLACE,WEST 7 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4485539,Sedan,,,,
11/24/2021,23:58,,,21.9477432,96.1603192,"(21.9477432, 96.1303347)",BROADWAY,,,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,4485241,,,,,
12/09/2021,17:00,MANHATTAN,10019,21.9577603,96.1206227,"(21.9577603, 96.1402913)",,,140       WEST 58 STREET,1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,4485153,Taxi,Bike,,,
12/08/2021,8:15,BROOKLYN,11230,21.9378263,96.1303347,"(21.9378263, 96.1206227)",OCEAN PARKWAY,18 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4484897,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
09/11/2021,2:20,,,21.9477432,96.1402913,"(21.9378263, 96.1206227)",BRONX RIVER PARKWAY,,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,4456035,Pick-up Truck,Convertible,,,
07/09/2021,12:00,,,21.9577603,96.150318,"(21.9477432, 96.1303347)",ITTNER PLACE,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4456704,Station Wagon/Sport Utility Vehicle,Box Truck,,,
09/11/2021,15:25,,,21.9378263,96.1603192,"(21.9577603, 96.1402913)",VERRAZANO BRIDGE UPPER,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4456122,Sedan,Sedan,,,
09/10/2021,14:50,,,21.9477432,96.1206227,"(21.9378263, 96.1206227)",BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4456919,Box Truck,,,,
07/01/2021,17:45,QUEENS,11691,21.9577603,96.1303347,"(21.9378263, 96.1206227)",BEACH CHANNEL DRIVE,HORTON AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4456686,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
07/07/2021,13:45,MANHATTAN,10014,21.9378263,96.1402913,"(21.9477432, 96.1303347)",LEROY STREET,BEDFORD STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,,,,,4456588,Station Wagon/Sport Utility Vehicle,,,,
09/11/2021,12:00,QUEENS,11432,21.9477432,96.150318,"(21.9577603, 96.1402913)",,,80-25     165 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4456879,Station Wagon/Sport Utility Vehicle,,,,
07/07/2021,17:30,,,21.9577603,96.1603192,"(21.9378263, 96.1206227)",BRUCKNER EXPRESSWAY,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4456573,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
09/11/2021,2:55,QUEENS,11420,21.9378263,96.1206227,"(21.9378263, 96.1206227)",135 PLACE,133 AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4455749,Sedan,Sedan,,,
09/11/2021,17:15,STATEN ISLAND,10310,21.9477432,96.1303347,"(21.9477432, 96.1303347)",,,694       FOREST AVENUE,1,0,1,0,0,0,0,0,Unspecified,,,,,4456087,Sedan,,,,
09/03/2021,17:14,BROOKLYN,11231,21.9577603,96.1402913,"(21.9577603, 96.1402913)",CLINTON STREET,DE GRAW STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4456941,Station Wagon/Sport Utility Vehicle,DL,,,
07/08/2021,12:30,,,21.9378263,96.150318,"(21.9378263, 96.1206227)",FDR DRIVE,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4456691,Taxi,Pick-up Truck,,,
08/23/2021,11:50,,,21.9477432,96.1603192,"(21.9378263, 96.1206227)",7 AVENUE,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4456765,Station Wagon/Sport Utility Vehicle,,,,
09/11/2021,21:34,BRONX,10469,21.9577603,96.1206227,"(21.9477432, 96.1303347)",BOSTON ROAD,FENTON AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4456435,Sedan,Station Wagon/Sport Utility Vehicle,,,
09/11/2021,11:30,QUEENS,11373,21.9378263,96.1303347,"(21.9577603, 96.1402913)",,,87-46     52 AVENUE,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4456181,Sedan,Sedan,,,
09/06/2021,10:34,,,21.9477432,96.1402913,"(21.9378263, 96.1206227)",21 STREET,33 ROAD,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4456550,Sedan,Sedan,,,
07/08/2021,15:56,,,21.9577603,96.150318,"(21.9378263, 96.1206227)",BELT PARKWAY,,,1,0,0,0,0,0,1,0,Other Vehicular,Following Too Closely,,,,4456615,Sedan,Sedan,,,
07/07/2021,23:06,,,21.9378263,96.1603192,"(21.9477432, 96.1303347)",HENRY HUDSON PARKWAY,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4456647,Sedan,,,,
09/11/2021,6:51,,,21.9477432,96.1206227,"(21.9577603, 96.1402913)",GREENE AVENUE,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4455820,Sedan,Sedan,,,
09/07/2021,12:30,,,21.9577603,96.1303347,"(21.9378263, 96.1206227)",SAINT NICHOLAS AVENUE,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4456845,Sedan,,,,
09/11/2021,4:10,MANHATTAN,10033,21.9378263,96.1402913,"(21.9378263, 96.1206227)",WEST 181 STREET,FORT WASHINGTON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4456191,Station Wagon/Sport Utility Vehicle,Sedan,,,
07/08/2021,9:25,,,21.9477432,96.150318,"(21.9477432, 96.1303347)",BUSHWICK AVENUE,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4456586,Station Wagon/Sport Utility Vehicle,Sedan,,,
09/11/2021,6:40,,,21.9577603,96.1603192,"(21.9577603, 96.1402913)",LIBERTY AVENUE,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Unspecified,,,4456718,Sedan,Sedan,,,
09/11/2021,17:35,QUEENS,11435,21.9378263,96.1206227,"(21.9378263, 96.1206227)",,,137-65    QUEENS BOULEVARD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4456821,Sedan,Station Wagon/Sport Utility Vehicle,,,
07/08/2021,17:17,STATEN ISLAND,10304,21.9477432,96.1303347,"(21.9378263, 96.1206227)",ROME AVENUE,UPTON STREET,,1,0,0,0,0,0,1,0,Lost Consciousness,Unspecified,,,,4456608,Sedan,Sedan,,,
09/10/2021,3:00,,,21.9577603,96.1402913,"(21.9477432, 96.1303347)",VAN WYCK EXPWY,,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,4456531,Station Wagon/Sport Utility Vehicle,,,,
09/11/2021,5:59,BRONX,10459,21.9378263,96.150318,"(21.9577603, 96.1402913)",EAST 167 STREET,BRYANT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4455832,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
09/09/2021,11:39,STATEN ISLAND,10306,21.9477432,96.1603192,"(21.9378263, 96.1206227)",CLAWSON STREET,PRINCETON AVENUE,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,4456735,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/13/2021,17:30,QUEENS,11106,21.9577603,96.1206227,"(21.9378263, 96.1206227)",33 st,31ave,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4408019,Sedan,Sedan,,,
09/11/2021,17:40,BROOKLYN,11228,21.9378263,96.1303347,"(21.9477432, 96.1303347)",12 AVENUE,71 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4456734,Sedan,Station Wagon/Sport Utility Vehicle,,,
09/11/2021,22:15,,,21.9477432,96.1402913,"(21.9577603, 96.1402913)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4455983,Sedan,Station Wagon/Sport Utility Vehicle,,,
09/11/2021,7:15,BROOKLYN,11207,21.9577603,96.150318,"(21.9378263, 96.1206227)",FULTON STREET,SCHENCK AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4456323,Sedan,,,,
09/10/2021,17:00,QUEENS,11372,21.9378263,96.1603192,"(21.9378263, 96.1206227)",74 STREET,37 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4456889,Sedan,Station Wagon/Sport Utility Vehicle,,,
07/08/2021,11:33,BROOKLYN,11236,21.9477432,96.1206227,"(21.9477432, 96.1303347)",,,1222      EAST 83 STREET,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4456679,Sedan,Sedan,,,
09/11/2021,21:48,,,21.9577603,96.1303347,"(21.9577603, 96.1402913)",SUTPHIN BOULEVARD,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4456373,Station Wagon/Sport Utility Vehicle,Sedan,,,
03/26/2022,10:30,,,21.9378263,96.1402913,"(21.9378263, 96.1206227)",BRIGHTON BEACH AVENUE,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4513885,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
09/11/2021,19:00,,,21.9477432,96.150318,"(21.9378263, 96.1206227)",WEST 120 STREET,,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4456758,Taxi,Bike,,,
09/11/2021,22:23,BRONX,10452,21.9577603,96.1603192,"(21.9477432, 96.1303347)",OGDEN AVENUE,WEST 164 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4456498,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
09/11/2021,15:00,QUEENS,11428,21.9378263,96.1206227,"(21.9577603, 96.1402913)",222 STREET,93 ROAD,,1,0,1,0,0,0,0,0,Unspecified,,,,,4455941,Sedan,,,,
